Donut Name,Description,URL
Glazed Cinnamon,Glazed,https://www.krispykreme.com/getattachment/c8002aa7-853e-4097-ad35-1ab43b32cb24/Glazed-Cinnamon.aspx?width=310&height=310&mode=max&quality=60&format=jpg
New York Cheesecake,"Iced, Filled",https://www.krispykreme.com/getattachment/fdcc4ab6-e90e-4c6d-88e2-7ca95d78f377/New-York-Cheesecake.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Delicious Penguin,"Iced, Filled",https://www.krispykreme.com/getattachment/3bd71711-cdcb-4f0c-bef7-891e32d6016b/Poppy-Penguin-Doughnut.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Reese's Classic,"Iced, Filled",https://www.krispykreme.com/getattachment/2f349ff2-4997-456b-9e43-c3529251363c/REESE-S-Classic.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Orignial Filled Original Kreme,"Glazed, Filled",https://www.krispykreme.com/getattachment/1a1f1807-a6d4-40af-9b51-5026065c8f6b/Original-Filled-Original-Kreme%E2%84%A2.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Originial Filled Chocolate Kreme,"Glazed, Filled",https://www.krispykreme.com/getattachment/1818f984-fd98-44f9-b37c-c067adc63ce4/Original-Filled-Chocolate-Kreme%E2%84%A2.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Original Glazed,Glazed,https://www.krispykreme.com/getattachment/1aa956f7-e7ca-4e27-bcc6-a603211d7c68/Original-Glazed-Doughnut.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Chocolate Glazed,"Iced, Glazed",https://www.krispykreme.com/getattachment/0c798364-6391-471d-95eb-e0e5fb4e38e4/Chocolate-Iced-Glazed.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Oreo Cookies and Kreme,Filled,https://www.krispykreme.com/getattachment/43524412-f0a3-481b-b0d7-3eb7cc6288f4/OREO-Cookies-and-KREME.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Cake Batter,"Cake, Filled, Iced",https://www.krispykreme.com/getattachment/7671b2a8-442c-4fbc-80ea-ef21d16c6673/Cake-Batter-Doughnut.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Strawberry Iced,Iced,https://www.krispykreme.com/getattachment/7ab68d1c-aa89-445a-9828-11bedd5817e2/Strawberry-Iced.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Glazed Dougunut Holes,Glazed,https://www.krispykreme.com/getattachment/edfafc3f-82bf-40f5-ae09-8896419c6f4a/Original-Glazed-Doughnut-Holes.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Glazed Cruller,Glazed,https://www.krispykreme.com/getattachment/d8f110d2-a357-473d-8c56-22dc80c9e073/Glazed-Cruller.aspx?width=310&height=310&mode=max&quality=60&format=jpg
Glazed Chocolate Cake,"Glazed, Cake",https://www.krispykreme.com/getattachment/0cc91aab-7ead-4e5d-952a-88e909190a35/Glazed-Chocolate-Cake.aspx?width=310&height=310&mode=max&quality=60&format=jpg
